;Команда;2-очк;;;3-очк;;;2+3-очк;;;штр з;штр б;штр %;Пд ч;Пд с;Пд в;РП;Ф иг;Ф на;Пт;Пх;Бш иг;Бш на;Эфф;пропуск;пропуск;разн;пропуск;пропуск;Турнир;пропуск;Очки;Сезон
24;5;9;20;45;10;29;34.48275862;19;49;38.7755102;17;19;89.47368421;2;18;20;19;17;19;13;6;3;2;68;65;79;-14;36;68;2;15;65;17
25;39;12;29;41.37931034;12;30;40;24;59;40.6779661;14;20;70;12;22;34;16;26;25;12;9;4;0;83;74;70;4;38;79;2;16;74;17
26;17;11;23;47.82608696;14;39;35.8974359;25;62;40.32258065;20;26;76.92307692;9;19;28;17;25;27;9;7;4;0;88;84;92;-8;45;88;1;10;84;17
27;25;17;33;51.51515152;12;30;40;29;63;46.03174603;8;16;50;6;21;27;18;26;19;13;11;3;3;72;78;95;-17;37;79;2;17;78;17
28;30;17;37;45.94594595;10;28;35.71428571;27;65;41.53846154;15;20;75;12;26;38;17;22;17;9;6;3;0;86;79;70;9;42;85;2;18;79;17
29;22;19;36;52.77777778;13;29;44.82758621;32;65;49.23076923;5;6;83.33333333;12;27;39;19;22;16;12;10;4;1;101;82;54;28;37;71;2;19;82;17
30;18;14;26;53.84615385;12;29;41.37931034;26;55;47.27272727;14;18;77.77777778;10;14;24;18;21;22;13;3;4;2;81;78;93;-15;40;73;1;11;78;17
31;10;15;26;57.69230769;15;39;38.46153846;30;65;46.15384615;8;11;72.72727273;9;22;31;21;20;14;7;6;2;2;90;83;85;-2;38;76;2;20;83;17
32;1;24;37;64.86486486;8;28;28.57142857;32;65;49.23076923;16;31;51.61290323;10;28;38;18;22;24;9;8;5;1;100;88;75;13;48;96;1;12;88;17
33;26;20;30;66.66666667;5;33;15.15151515;25;63;39.68253968;13;14;92.85714286;16;28;44;10;20;19;12;5;5;2;78;68;66;2;38;77;2;21;68;17
34;31;22;35;62.85714286;5;25;20;27;60;45;12;18;66.66666667;8;28;36;13;24;19;11;3;5;2;78;71;90;-19;39;78;1;13;71;17
35;15;15;30;50;11;29;37.93103448;26;59;44.06779661;21;26;80.76923077;13;19;32;22;25;24;8;6;6;2;101;84;74;10;47;85;2;22;84;17
36;11;21;37;56.75675676;7;28;25;28;65;43.07692308;10;16;62.5;12;26;38;21;20;18;10;8;2;1;89;73;77;-4;38;81;1;14;73;17
37;16;20;30;66.66666667;16;31;51.61290323;36;61;59.01639344;10;11;90.90909091;7;30;37;30;26;19;15;6;6;0;136;98;80;18;46;72;1;15;98;17
38;23;19;34;55.88235294;8;23;34.7826087;27;57;47.36842105;16;18;88.88888889;13;29;42;16;24;23;16;5;2;1;93;78;61;17;43;75;2;23;78;17
39;6;15;35;42.85714286;12;32;37.5;27;67;40.29850746;11;13;84.61538462;10;20;30;17;26;17;7;5;4;5;70;77;87;-10;38;80;2;24;77;17
40;21;19;40;47.5;7;23;30.43478261;26;63;41.26984127;23;29;79.31034483;13;19;32;17;21;22;7;9;1;1;91;82;79;3;49;92;1;16;82;17
41;20;19;40;47.5;9;26;34.61538462;28;66;42.42424242;12;18;66.66666667;14;17;31;17;23;19;10;10;3;4;76;77;86;-9;40;84;2;25;77;17
42;5;23;35;65.71428571;7;25;28;30;60;50;12;15;80;8;27;35;21;27;25;14;2;1;0;91;79;84;-5;42;75;1;17;79;17
43;19;27;42;64.28571429;8;30;26.66666667;35;72;48.61111111;16;19;84.21052632;14;23;37;21;20;18;10;5;2;2;105;94;91;3;51;91;2;26;94;17
44;2;20;32;62.5;11;29;37.93103448;31;61;50.81967213;12;17;70.58823529;12;23;35;27;22;17;13;9;3;3;103;85;73;12;43;78;2;27;85;17
45;31;22;36;61.11111111;5;16;31.25;27;52;51.92307692;14;19;73.68421053;8;13;21;17;18;21;17;5;4;1;75;73;90;-17;41;71;2;28;73;17
46;27;17;32;53.125;7;25;28;24;57;42.10526316;25;35;71.42857143;14;26;40;17;22;29;19;8;3;4;86;80;83;-3;49;92;1;18;80;17
